period,account,debit_vnd,credit_vnd,evidence_class
2025-03,1000,-18088450397.4,0,SIMULATED/DERIVED
2025-03,1100,4257596156,0,SIMULATED/DERIVED
2025-03,1200,733564515,0,SIMULATED/DERIVED
2025-03,1500,3152812500,0,SIMULATED/DERIVED
2025-03,2000,0,2845677672,SIMULATED/DERIVED
2025-03,2500,0,6650000000,SIMULATED/DERIVED
2025-03,3000,18664045366.4,0,SIMULATED/DERIVED
2025-03,4000,0,1126191000,SIMULATED/DERIVED
2025-03,4010,53858420,0,SIMULATED/DERIVED
2025-03,4020,8531870,0,SIMULATED/DERIVED
2025-03,4030,0,0,SIMULATED/DERIVED
2025-03,4040,0,0,SIMULATED/DERIVED
2025-03,5000,555653678,0,SIMULATED/DERIVED
2025-03,5100,71309113,0,SIMULATED/DERIVED
2025-03,5200,26733510,0,SIMULATED/DERIVED
2025-03,5300,0,0,SIMULATED/DERIVED
2025-03,6000,1129641024,0,SIMULATED/DERIVED
2025-03,6100,10687500,0,SIMULATED/DERIVED
2025-03,6200,45885417,0,SIMULATED/DERIVED
2025-03,6300,0,0,SIMULATED/DERIVED
2025-04,1000,-19734189307.4,0,SIMULATED/DERIVED
2025-04,1100,4455705964,0,SIMULATED/DERIVED
2025-04,1200,767834930,0,SIMULATED/DERIVED
2025-04,1500,3783375000,0,SIMULATED/DERIVED
2025-04,2000,0,2947679333,SIMULATED/DERIVED
2025-04,2500,0,6600000000,SIMULATED/DERIVED
2025-04,3000,19440154898.4,0,SIMULATED/DERIVED
2025-04,4000,0,1095212000,SIMULATED/DERIVED
2025-04,4010,53162230,0,SIMULATED/DERIVED
2025-04,4020,8460273,0,SIMULATED/DERIVED
2025-04,4030,0,0,SIMULATED/DERIVED
2025-04,4040,0,0,SIMULATED/DERIVED
2025-04,5000,539585148,0,SIMULATED/DERIVED
2025-04,5100,75643083,0,SIMULATED/DERIVED
2025-04,5200,24902609,0,SIMULATED/DERIVED
2025-04,5300,0,0,SIMULATED/DERIVED
2025-04,6000,1171996088,0,SIMULATED/DERIVED
2025-04,6100,10687500,0,SIMULATED/DERIVED
2025-04,6200,45572917,0,SIMULATED/DERIVED
2025-04,6300,0,0,SIMULATED/DERIVED
2025-05,1000,-20793563590.4,0,SIMULATED/DERIVED
2025-05,1100,4644117131,0,SIMULATED/DERIVED
2025-05,1200,905251705,0,SIMULATED/DERIVED
2025-05,1500,3783375000,0,SIMULATED/DERIVED
2025-05,2000,0,3069276780,SIMULATED/DERIVED
2025-05,2500,0,6550000000,SIMULATED/DERIVED
2025-05,3000,20274952746.4,0,SIMULATED/DERIVED
2025-05,4000,0,1044486500,SIMULATED/DERIVED
2025-05,4010,50453840,0,SIMULATED/DERIVED
2025-05,4020,8001322,0,SIMULATED/DERIVED
2025-05,4030,0,0,SIMULATED/DERIVED
2025-05,4040,0,0,SIMULATED/DERIVED
2025-05,5000,513544788,0,SIMULATED/DERIVED
2025-05,5100,66775984,0,SIMULATED/DERIVED
2025-05,5200,24693457,0,SIMULATED/DERIVED
2025-05,5300,0,0,SIMULATED/DERIVED
2025-05,6000,1140900480,0,SIMULATED/DERIVED
2025-05,6100,0,0,SIMULATED/DERIVED
2025-05,6200,45260417,0,SIMULATED/DERIVED
2025-05,6300,0,0,SIMULATED/DERIVED
2025-06,1000,-21932650023.2,0,SIMULATED/DERIVED
2025-06,1100,4839261225,0,SIMULATED/DERIVED
2025-06,1200,1116188855,0,SIMULATED/DERIVED
2025-06,1500,3783375000,0,SIMULATED/DERIVED
2025-06,2000,0,3174112809,SIMULATED/DERIVED
2025-06,2500,0,6500000000,SIMULATED/DERIVED
2025-06,3000,21080096534.4,0,SIMULATED/DERIVED
2025-06,4000,0,1077572000,SIMULATED/DERIVED
2025-06,4010,51917680,0,SIMULATED/DERIVED
2025-06,4020,8230334,0,SIMULATED/DERIVED
2025-06,4030,0,0,SIMULATED/DERIVED
2025-06,4040,0,0,SIMULATED/DERIVED
2025-06,5000,530968255,0,SIMULATED/DERIVED
2025-06,5100,68613410,0,SIMULATED/DERIVED
2025-06,5200,23663705,0,SIMULATED/DERIVED
2025-06,5300,0,0,SIMULATED/DERIVED
2025-06,6000,1137071916.8,0,SIMULATED/DERIVED
2025-06,6100,0,0,SIMULATED/DERIVED
2025-06,6200,44947917,0,SIMULATED/DERIVED
2025-06,6300,0,0,SIMULATED/DERIVED
2025-07,1000,-23050428208,0,SIMULATED/DERIVED
2025-07,1100,5029476907,0,SIMULATED/DERIVED
2025-07,1200,1307750635,0,SIMULATED/DERIVED
2025-07,1500,3783375000,0,SIMULATED/DERIVED
2025-07,2000,0,3284364410,SIMULATED/DERIVED
2025-07,2500,0,6450000000,SIMULATED/DERIVED
2025-07,3000,21867937752.2,0,SIMULATED/DERIVED
2025-07,4000,0,1086157000,SIMULATED/DERIVED
2025-07,4010,52129585,0,SIMULATED/DERIVED
2025-07,4020,8224244,0,SIMULATED/DERIVED
2025-07,4030,0,0,SIMULATED/DERIVED
2025-07,4040,0,0,SIMULATED/DERIVED
2025-07,5000,534525612,0,SIMULATED/DERIVED
2025-07,5100,68956821,0,SIMULATED/DERIVED
2025-07,5200,25845728,0,SIMULATED/DERIVED
2025-07,5300,0,0,SIMULATED/DERIVED
2025-07,6000,1148091916.8,0,SIMULATED/DERIVED
2025-07,6100,0,0,SIMULATED/DERIVED
2025-07,6200,44635417,0,SIMULATED/DERIVED
2025-07,6300,0,0,SIMULATED/DERIVED
2025-08,1000,-24295112533,0,SIMULATED/DERIVED
2025-08,1100,5234614279,0,SIMULATED/DERIVED
2025-08,1200,1564988860,0,SIMULATED/DERIVED
2025-08,1500,3783375000,0,SIMULATED/DERIVED
2025-08,2000,0,3388779903,SIMULATED/DERIVED
2025-08,2500,0,6400000000,SIMULATED/DERIVED
2025-08,3000,22664190076,0,SIMULATED/DERIVED
2025-08,4000,0,1119494000,SIMULATED/DERIVED
2025-08,4010,53700690,0,SIMULATED/DERIVED
2025-08,4020,8503263,0,SIMULATED/DERIVED
2025-08,4030,0,0,SIMULATED/DERIVED
2025-08,4040,0,0,SIMULATED/DERIVED
2025-08,5000,560789736,0,SIMULATED/DERIVED
2025-08,5100,70966109,0,SIMULATED/DERIVED
2025-08,5200,26400490,0,SIMULATED/DERIVED
2025-08,5300,0,0,SIMULATED/DERIVED
2025-08,6000,1191535016,0,SIMULATED/DERIVED
2025-08,6100,0,0,SIMULATED/DERIVED
2025-08,6200,44322917,0,SIMULATED/DERIVED
2025-08,6300,0,0,SIMULATED/DERIVED
2025-09,1000,-25559790426,0,SIMULATED/DERIVED
2025-09,1100,5455057910,0,SIMULATED/DERIVED
2025-09,1200,1824830700,0,SIMULATED/DERIVED
2025-09,1500,3783375000,0,SIMULATED/DERIVED
2025-09,2000,0,3493734102,SIMULATED/DERIVED
2025-09,2500,0,6350000000,SIMULATED/DERIVED
2025-09,3000,23500914297,0,SIMULATED/DERIVED
2025-09,4000,0,1171496500,SIMULATED/DERIVED
2025-09,4010,56250095,0,SIMULATED/DERIVED
2025-09,4020,8924521,0,SIMULATED/DERIVED
2025-09,4030,0,0,SIMULATED/DERIVED
2025-09,4040,0,0,SIMULATED/DERIVED
2025-09,5000,587170742,0,SIMULATED/DERIVED
2025-09,5100,74298313,0,SIMULATED/DERIVED
2025-09,5200,27578353,0,SIMULATED/DERIVED
2025-09,5300,0,0,SIMULATED/DERIVED
2025-09,6000,1212610680,0,SIMULATED/DERIVED
2025-09,6100,0,0,SIMULATED/DERIVED
2025-09,6200,44010417,0,SIMULATED/DERIVED
2025-09,6300,0,0,SIMULATED/DERIVED
2025-10,1000,-27232972931,0,SIMULATED/DERIVED
2025-10,1100,5646589183,0,SIMULATED/DERIVED
2025-10,1200,2200849405,0,SIMULATED/DERIVED
2025-10,1500,3783375000,0,SIMULATED/DERIVED
2025-10,2000,0,3393548147,SIMULATED/DERIVED
2025-10,2500,0,6300000000,SIMULATED/DERIVED
2025-10,3000,24340260918,0,SIMULATED/DERIVED
2025-10,4000,0,1045812000,SIMULATED/DERIVED
2025-10,4010,50139375,0,SIMULATED/DERIVED
2025-10,4020,7943857,0,SIMULATED/DERIVED
2025-10,4030,0,0,SIMULATED/DERIVED
2025-10,4040,0,0,SIMULATED/DERIVED
2025-10,5000,524856594,0,SIMULATED/DERIVED
2025-10,5100,66331830,0,SIMULATED/DERIVED
2025-10,5200,24793779,0,SIMULATED/DERIVED
2025-10,5300,0,0,SIMULATED/DERIVED
2025-10,6000,1283495220,0,SIMULATED/DERIVED
2025-10,6100,0,0,SIMULATED/DERIVED
2025-10,6200,43697917,0,SIMULATED/DERIVED
2025-10,6300,0,0,SIMULATED/DERIVED
2025-11,1000,-28867796642,0,SIMULATED/DERIVED
2025-11,1100,5862836238,0,SIMULATED/DERIVED
2025-11,1200,2677888060,0,SIMULATED/DERIVED
2025-11,1500,3783375000,0,SIMULATED/DERIVED
2025-11,2000,0,3497185097,SIMULATED/DERIVED
2025-11,2500,0,6250000000,SIMULATED/DERIVED
2025-11,3000,25295707490,0,SIMULATED/DERIVED
2025-11,4000,0,1197014500,SIMULATED/DERIVED
2025-11,4010,57364910,0,SIMULATED/DERIVED
2025-11,4020,9069893,0,SIMULATED/DERIVED
2025-11,4030,0,0,SIMULATED/DERIVED
2025-11,4040,0,0,SIMULATED/DERIVED
2025-11,5000,600982503,0,SIMULATED/DERIVED
2025-11,5100,75809637,0,SIMULATED/DERIVED
2025-11,5200,28336431,0,SIMULATED/DERIVED
2025-11,5300,0,0,SIMULATED/DERIVED
2025-11,6000,1377240660,0,SIMULATED/DERIVED
2025-11,6100,0,0,SIMULATED/DERIVED
2025-11,6200,43385417,0,SIMULATED/DERIVED
2025-11,6300,0,0,SIMULATED/DERIVED
2025-12,1000,-30756981747,0,SIMULATED/DERIVED
2025-12,1100,6082515405,0,SIMULATED/DERIVED
2025-12,1200,3266385880,0,SIMULATED/DERIVED
2025-12,1500,3783375000,0,SIMULATED/DERIVED
2025-12,2000,0,3612700077,SIMULATED/DERIVED
2025-12,2500,0,6200000000,SIMULATED/DERIVED
2025-12,3000,26290882441,0,SIMULATED/DERIVED
2025-12,4000,0,1204510000,SIMULATED/DERIVED
2025-12,4010,57607060,0,SIMULATED/DERIVED
2025-12,4020,9078712,0,SIMULATED/DERIVED
2025-12,4030,0,0,SIMULATED/DERIVED
2025-12,4040,0,0,SIMULATED/DERIVED
2025-12,5000,603520331,0,SIMULATED/DERIVED
2025-12,5100,76075128,0,SIMULATED/DERIVED
2025-12,5200,28535250,0,SIMULATED/DERIVED
2025-12,5300,0,0,SIMULATED/DERIVED
2025-12,6000,1533143700,0,SIMULATED/DERIVED
2025-12,6100,0,0,SIMULATED/DERIVED
2025-12,6200,43072917,0,SIMULATED/DERIVED
2025-12,6300,0,0,SIMULATED/DERIVED
