target_period,metric_id,from_version,to_version,baseline_value_vnd,override_value_vnd,volume_effect_vnd,price_effect_vnd,mix_effect_vnd,cost_effect_vnd,opex_effect_vnd,wc_effect_vnd,total_change_vnd,bridge_check_vnd,evidence_class
2025-08,REVENUE,RF1,RF2,1110154549.35,1089008748.41,-8458320.38,-5286450.23,-3171870.14,-2537496.11,-1057290.05,-634374.03,-21145800.94,0,SIMULATED_DERIVED
2025-08,REVENUE,RF2,RF3,1089008748.41,1073149397.71,-6343740.28,-3964837.68,-2378902.61,-1903122.08,-792967.54,-475780.52,-15859350.7,0,SIMULATED_DERIVED
2025-08,REVENUE,RF3,LATEST_ESTIMATE,1073149397.71,1067862947.47,-2114580.1,-1321612.56,-792967.54,-634374.03,-264322.51,-158593.51,-5286450.24,0,SIMULATED_DERIVED
2025-08,GROSS_PROFIT,BUDGET,RF1,536220335.88,521325326.55,-5958003.73,-3723752.33,-2234251.4,-1787401.12,-744750.47,-446850.28,-14895009.33,0,SIMULATED_DERIVED
2025-08,GROSS_PROFIT,RF1,RF2,521325326.55,511395320.33,-3972002.49,-2482501.56,-1489500.93,-1191600.75,-496500.31,-297900.19,-9930006.22,0,SIMULATED_DERIVED
2025-08,GROSS_PROFIT,RF2,RF3,511395320.33,503947815.67,-2979001.86,-1861876.16,-1117125.7,-893700.56,-372375.23,-223425.14,-7447504.66,0,SIMULATED_DERIVED
2025-08,GROSS_PROFIT,RF3,LATEST_ESTIMATE,503947815.67,501465314.11,-993000.62,-620625.39,-372375.23,-297900.19,-124125.08,-74475.05,-2482501.56,0,SIMULATED_DERIVED
2025-08,EBITDA_PROXY,BUDGET,RF1,-855793408.32,-832021369.2,9508815.65,5943009.78,3565805.87,2852644.69,1188601.96,713161.17,23772039.12,0,SIMULATED_DERIVED
2025-08,EBITDA_PROXY,RF1,RF2,-832021369.2,-816173343.12,6339210.43,3962006.52,2377203.91,1901763.13,792401.3,475440.78,15848026.08,0,SIMULATED_DERIVED
2025-08,EBITDA_PROXY,RF2,RF3,-816173343.12,-804287323.56,4754407.82,2971504.89,1782902.93,1426322.35,594300.98,356580.59,11886019.56,0,SIMULATED_DERIVED
2025-08,EBITDA_PROXY,RF3,LATEST_ESTIMATE,-804287323.56,-800325317.04,1584802.61,990501.63,594300.98,475440.78,198100.33,118860.2,3962006.52,0,SIMULATED_DERIVED
2025-08,CFO,BUDGET,RF1,-1099109579,-1134950108.75,-14336211.9,-8960132.44,-5376079.46,-4300863.57,-1792026.49,-1075215.89,-35840529.75,0,SIMULATED_DERIVED
2025-08,CFO,RF1,RF2,-1134950108.75,-1158843795.25,-9557474.6,-5973421.62,-3584052.97,-2867242.38,-1194684.32,-716810.59,-23893686.5,0,SIMULATED_DERIVED
2025-08,CFO,RF2,RF3,-1158843795.25,-1176764060.12,-7168105.95,-4480066.22,-2688039.73,-2150431.78,-896013.24,-537607.95,-17920264.87,0,SIMULATED_DERIVED
2025-08,CFO,RF3,LATEST_ESTIMATE,-1176764060.12,-1182737481.75,-2389368.65,-1493355.41,-896013.24,-716810.6,-298671.08,-179202.65,-5973421.63,0,SIMULATED_DERIVED
2025-08,WORKING_CAPITAL,BUDGET,RF1,3137957377.12,3240282074.2,40929878.83,25581174.27,15348704.56,12278963.65,5116234.85,3069740.91,102324697.08,0,SIMULATED_DERIVED
2025-08,WORKING_CAPITAL,RF1,RF2,3240282074.2,3308498538.92,27286585.89,17054116.18,10232469.71,8185975.77,3410823.24,2046493.94,68216464.72,0,SIMULATED_DERIVED
2025-08,WORKING_CAPITAL,RF2,RF3,3308498538.92,3359660887.46,20464939.42,12790587.13,7674352.28,6139481.82,2558117.43,1534870.46,51162348.54,0,SIMULATED_DERIVED
2025-08,WORKING_CAPITAL,RF3,LATEST_ESTIMATE,3359660887.46,3376715003.64,6821646.47,4263529.04,2558117.43,2046493.94,852705.81,511623.49,17054116.18,0,SIMULATED_DERIVED
2025-09,REVENUE,BUDGET,RF1,1194827634.72,1161637978.2,-13275862.61,-8297414.13,-4978448.48,-3982758.78,-1659482.83,-995689.7,-33189656.52,0,SIMULATED_DERIVED
2025-09,REVENUE,RF1,RF2,1161637978.2,1139511540.52,-8850575.07,-5531609.42,-3318965.65,-2655172.52,-1106321.88,-663793.13,-22126437.68,0,SIMULATED_DERIVED
2025-09,REVENUE,RF2,RF3,1139511540.52,1122916712.26,-6637931.3,-4148707.06,-2489224.24,-1991379.39,-829741.41,-497844.85,-16594828.26,0,SIMULATED_DERIVED
2025-09,REVENUE,RF3,LATEST_ESTIMATE,1122916712.26,1117385102.84,-2212643.77,-1382902.36,-829741.41,-663793.13,-276580.47,-165948.28,-5531609.42,0,SIMULATED_DERIVED
2025-09,GROSS_PROFIT,BUDGET,RF1,560683233.36,545108699.1,-6229813.7,-3893633.56,-2336180.14,-1868944.11,-778726.71,-467236.03,-15574534.26,0,SIMULATED_DERIVED
2025-09,GROSS_PROFIT,RF1,RF2,545108699.1,534725676.26,-4153209.14,-2595755.71,-1557453.43,-1245962.74,-519151.14,-311490.69,-10383022.84,0,SIMULATED_DERIVED
2025-09,GROSS_PROFIT,RF2,RF3,534725676.26,526938409.13,-3114906.85,-1946816.78,-1168090.07,-934472.06,-389363.36,-233618.01,-7787267.13,0,SIMULATED_DERIVED
2025-09,GROSS_PROFIT,RF3,LATEST_ESTIMATE,526938409.13,524342653.42,-1038302.28,-648938.93,-389363.36,-311490.69,-129787.79,-77872.67,-2595755.71,0,SIMULATED_DERIVED
2025-09,EBITDA_PROXY,BUDGET,RF1,-858963100.32,-835103014.2,9544034.45,5965021.53,3579012.92,2863210.33,1193004.31,715802.58,23860086.12,0,SIMULATED_DERIVED
2025-09,EBITDA_PROXY,RF1,RF2,-835103014.2,-819196290.12,6362689.63,3976681.02,2386008.61,1908806.89,795336.2,477201.72,15906724.08,0,SIMULATED_DERIVED
2025-09,EBITDA_PROXY,RF2,RF3,-819196290.12,-807266247.06,4772017.22,2982510.77,1789506.46,1431605.17,596502.15,357901.29,11930043.06,0,SIMULATED_DERIVED
2025-09,EBITDA_PROXY,RF3,LATEST_ESTIMATE,-807266247.06,-803289566.04,1590672.41,994170.25,596502.15,477201.72,198834.05,119300.43,3976681.02,0,SIMULATED_DERIVED
2025-09,CFO,BUDGET,RF1,-1117503661.56,-1153943998.35,-14576134.72,-9110084.2,-5466050.52,-4372840.41,-1822016.84,-1093210.1,-36440336.79,0,SIMULATED_DERIVED
2025-09,CFO,RF1,RF2,-1153943998.35,-1178237556.21,-9717423.14,-6073389.47,-3644033.68,-2915226.94,-1214677.89,-728806.74,-24293557.86,0,SIMULATED_DERIVED
2025-09,CFO,RF2,RF3,-1178237556.21,-1196457724.6,-7288067.36,-4555042.1,-2733025.26,-2186420.21,-911008.42,-546605.05,-18220168.39,0,SIMULATED_DERIVED
2025-09,CFO,RF3,LATEST_ESTIMATE,-1196457724.6,-1202531114.07,-2429355.79,-1518347.37,-911008.42,-728806.74,-303669.47,-182201.68,-6073389.47,0,SIMULATED_DERIVED
2025-09,WORKING_CAPITAL,BUDGET,RF1,3483262147.36,3596846782.6,45433854.1,28396158.81,17037695.29,13630156.23,5679231.76,3407539.06,113584635.24,0,SIMULATED_DERIVED
2025-09,WORKING_CAPITAL,RF1,RF2,3596846782.6,3672569872.76,30289236.06,18930772.54,11358463.52,9086770.82,3786154.51,2271692.7,75723090.16,0,SIMULATED_DERIVED
2025-09,WORKING_CAPITAL,RF2,RF3,3672569872.76,3729362190.38,22716927.05,14198079.4,8518847.64,6815078.11,2839615.88,1703769.53,56792317.62,0,SIMULATED_DERIVED
2025-09,WORKING_CAPITAL,RF3,LATEST_ESTIMATE,3729362190.38,3748292962.92,7572309.02,4732693.13,2839615.88,2271692.7,946538.63,567923.18,18930772.54,0,SIMULATED_DERIVED
2025-10,REVENUE,BUDGET,RF1,1066747069.44,1037115206.4,-11852745.22,-7407965.76,-4444779.46,-3555823.56,-1481593.15,-888955.89,-29631863.04,0,SIMULATED_DERIVED
2025-10,REVENUE,RF1,RF2,1037115206.4,1017360631.04,-7901830.14,-4938643.84,-2963186.3,-2370549.04,-987728.77,-592637.26,-19754575.36,0,SIMULATED_DERIVED
2025-10,REVENUE,RF2,RF3,1017360631.04,1002544699.52,-5926372.61,-3703982.88,-2222389.73,-1777911.78,-740796.58,-444477.95,-14815931.52,0,SIMULATED_DERIVED
2025-10,REVENUE,RF3,LATEST_ESTIMATE,1002544699.52,997606055.68,-1975457.54,-1234660.96,-740796.58,-592637.26,-246932.19,-148159.32,-4938643.84,0,SIMULATED_DERIVED
2025-10,GROSS_PROFIT,BUDGET,RF1,499901947.92,486015782.7,-5554466.09,-3471541.31,-2082924.78,-1666339.83,-694308.26,-416584.96,-13886165.22,0,SIMULATED_DERIVED
2025-10,GROSS_PROFIT,RF1,RF2,486015782.7,476758339.22,-3702977.39,-2314360.87,-1388616.52,-1110893.22,-462872.17,-277723.3,-9257443.48,0,SIMULATED_DERIVED
2025-10,GROSS_PROFIT,RF2,RF3,476758339.22,469815256.61,-2777233.04,-1735770.65,-1041462.39,-833169.91,-347154.13,-208292.48,-6943082.61,0,SIMULATED_DERIVED
2025-10,GROSS_PROFIT,RF3,LATEST_ESTIMATE,469815256.61,467500895.74,-925744.35,-578590.22,-347154.13,-277723.3,-115718.04,-69430.83,-2314360.87,0,SIMULATED_DERIVED
2025-10,EBITDA_PROXY,BUDGET,RF1,-984688547.4,-957336087.75,10940983.86,6838114.91,4102868.95,3282295.16,1367622.98,820573.79,27352459.65,0,SIMULATED_DERIVED
2025-10,EBITDA_PROXY,RF1,RF2,-957336087.75,-939101114.65,7293989.24,4558743.28,2735245.97,2188196.77,911748.66,547049.19,18234973.1,0,SIMULATED_DERIVED
2025-10,EBITDA_PROXY,RF2,RF3,-939101114.65,-925424884.82,5470491.93,3419057.46,2051434.47,1641147.58,683811.49,410286.89,13676229.83,0,SIMULATED_DERIVED
2025-10,EBITDA_PROXY,RF3,LATEST_ESTIMATE,-925424884.82,-920866141.55,1823497.31,1139685.82,683811.49,547049.19,227937.16,136762.3,4558743.27,0,SIMULATED_DERIVED
2025-10,CFO,BUDGET,RF1,-1493327904.6,-1542023379.75,-19478190.06,-12173868.79,-7304321.27,-5843457.02,-2434773.76,-1460864.25,-48695475.15,0,SIMULATED_DERIVED
2025-10,CFO,RF1,RF2,-1542023379.75,-1574487029.85,-12985460.04,-8115912.52,-4869547.51,-3895638.01,-1623182.5,-973909.5,-32463650.1,0,SIMULATED_DERIVED
2025-10,CFO,RF2,RF3,-1574487029.85,-1598834767.42,-9739095.03,-6086934.39,-3652160.64,-2921728.51,-1217386.88,-730432.13,-24347737.57,0,SIMULATED_DERIVED
2025-10,CFO,RF3,LATEST_ESTIMATE,-1598834767.42,-1606950679.95,-3246365.01,-2028978.13,-1217386.88,-973909.5,-405795.63,-243477.38,-8115912.53,0,SIMULATED_DERIVED
2025-10,WORKING_CAPITAL,BUDGET,RF1,4097579205.72,4231195918.95,53446685.29,33404178.31,20042506.98,16034005.59,6680835.66,4008501.4,133616713.23,0,SIMULATED_DERIVED
2025-10,WORKING_CAPITAL,RF1,RF2,4231195918.95,4320273727.77,35631123.53,22269452.21,13361671.32,10689337.06,4453890.44,2672334.26,89077808.82,0,SIMULATED_DERIVED
2025-10,WORKING_CAPITAL,RF2,RF3,4320273727.77,4387082084.39,26723342.65,16702089.15,10021253.49,8017002.79,3340417.83,2004250.7,66808356.62,0,SIMULATED_DERIVED
2025-10,WORKING_CAPITAL,RF3,LATEST_ESTIMATE,4387082084.39,4409351536.59,8907780.88,5567363.05,3340417.83,2672334.26,1113472.61,668083.57,22269452.2,0,SIMULATED_DERIVED
2025-11,REVENUE,BUDGET,RF1,1221026072.76,1187108681.85,-13566956.36,-8479347.73,-5087608.64,-4070086.91,-1695869.55,-1017521.73,-33917390.91,0,SIMULATED_DERIVED
2025-11,REVENUE,RF1,RF2,1187108681.85,1164497087.91,-9044637.58,-5652898.48,-3391739.09,-2713391.27,-1130579.7,-678347.82,-22611593.94,0,SIMULATED_DERIVED
2025-11,REVENUE,RF2,RF3,1164497087.91,1147538392.46,-6783478.18,-4239673.86,-2543804.32,-2035043.45,-847934.77,-508760.86,-16958695.45,0,SIMULATED_DERIVED
2025-11,REVENUE,RF3,LATEST_ESTIMATE,1147538392.46,1141885493.97,-2261159.4,-1413224.62,-847934.77,-678347.82,-282644.92,-169586.95,-5652898.49,0,SIMULATED_DERIVED
2025-11,GROSS_PROFIT,BUDGET,RF1,571964969.52,556077053.7,-6355166.33,-3971978.95,-2383187.37,-1906549.9,-794395.79,-476637.47,-15887915.82,0,SIMULATED_DERIVED
2025-11,GROSS_PROFIT,RF1,RF2,556077053.7,545485109.82,-4236777.55,-2647985.97,-1588791.58,-1271033.27,-529597.19,-317758.32,-10591943.88,0,SIMULATED_DERIVED
2025-11,GROSS_PROFIT,RF2,RF3,545485109.82,537541151.91,-3177583.16,-1985989.48,-1191593.69,-953274.95,-397197.9,-238318.74,-7943957.91,0,SIMULATED_DERIVED
2025-11,GROSS_PROFIT,RF3,LATEST_ESTIMATE,537541151.91,534893165.94,-1059194.39,-661996.49,-397197.9,-317758.32,-132399.3,-79439.58,-2647985.97,0,SIMULATED_DERIVED
2025-11,EBITDA_PROXY,BUDGET,RF1,-1027932696.72,-999379010.7,11421474.41,7138421.5,4283052.9,3426442.32,1427684.3,856610.58,28553686.02,0,SIMULATED_DERIVED
2025-11,EBITDA_PROXY,RF1,RF2,-999379010.7,-980343220.02,7614316.27,4758947.67,2855368.6,2284294.88,951789.53,571073.72,19035790.68,0,SIMULATED_DERIVED
2025-11,EBITDA_PROXY,RF2,RF3,-980343220.02,-966066377.01,5710737.2,3569210.75,2141526.45,1713221.16,713842.15,428305.29,14276843.01,0,SIMULATED_DERIVED
2025-11,EBITDA_PROXY,RF3,LATEST_ESTIMATE,-966066377.01,-961307429.34,1903579.07,1189736.92,713842.15,571073.72,237947.38,142768.43,4758947.67,0,SIMULATED_DERIVED
2025-11,CFO,BUDGET,RF1,-1458037814.12,-1505582525.45,-19017884.53,-11886177.83,-7131706.7,-5705365.36,-2377235.57,-1426341.34,-47544711.33,0,SIMULATED_DERIVED
2025-11,CFO,RF1,RF2,-1505582525.45,-1537278999.67,-12678589.69,-7924118.56,-4754471.13,-3803576.91,-1584823.71,-950894.23,-31696474.22,0,SIMULATED_DERIVED
2025-11,CFO,RF2,RF3,-1537278999.67,-1561051355.33,-9508942.26,-5943088.91,-3565853.35,-2852682.68,-1188617.78,-713170.67,-23772355.66,0,SIMULATED_DERIVED
2025-11,CFO,RF3,LATEST_ESTIMATE,-1561051355.33,-1568975473.89,-3169647.42,-1981029.64,-1188617.78,-950894.23,-396205.93,-237723.56,-7924118.56,0,SIMULATED_DERIVED
2025-11,WORKING_CAPITAL,BUDGET,RF1,4640056064.92,4791362240.95,60522470.41,37826544.01,22695926.4,18156741.12,7565308.8,4539185.28,151306176.03,0,SIMULATED_DERIVED
2025-11,WORKING_CAPITAL,RF1,RF2,4791362240.95,4892233024.97,40348313.61,25217696.01,15130617.6,12104494.08,5043539.2,3026123.52,100870784.02,0,SIMULATED_DERIVED
2025-11,WORKING_CAPITAL,RF2,RF3,4892233024.97,4967886112.98,30261235.2,18913272,11347963.2,9078370.56,3782654.4,2269592.64,75653088.01,0,SIMULATED_DERIVED
2025-11,WORKING_CAPITAL,RF3,LATEST_ESTIMATE,4967886112.98,4993103808.99,10087078.4,6304424,3782654.4,3026123.52,1260884.8,756530.88,25217696.01,0,SIMULATED_DERIVED
2025-12,REVENUE,BUDGET,RF1,1228850166.24,1194715439.4,-13653890.74,-8533681.71,-5120209.03,-4096167.22,-1706736.34,-1024041.81,-34134726.84,0,SIMULATED_DERIVED
2025-12,REVENUE,RF1,RF2,1194715439.4,1171958954.84,-9102593.82,-5689121.14,-3413472.68,-2730778.15,-1137824.23,-682694.54,-22756484.56,0,SIMULATED_DERIVED
2025-12,REVENUE,RF2,RF3,1171958954.84,1154891591.42,-6826945.37,-4266840.85,-2560104.51,-2048083.61,-853368.17,-512020.9,-17067363.42,0,SIMULATED_DERIVED
2025-12,REVENUE,RF3,LATEST_ESTIMATE,1154891591.42,1149202470.28,-2275648.46,-1422280.29,-853368.17,-682694.54,-284456.06,-170673.63,-5689121.14,0,SIMULATED_DERIVED
2025-12,GROSS_PROFIT,BUDGET,RF1,577048208.76,561019091.85,-6411646.76,-4007279.23,-2404367.54,-1923494.03,-801455.85,-480873.51,-16029116.91,0,SIMULATED_DERIVED
2025-12,GROSS_PROFIT,RF1,RF2,561019091.85,550333013.91,-4274431.18,-2671519.49,-1602911.69,-1282329.35,-534303.9,-320582.34,-10686077.94,0,SIMULATED_DERIVED
2025-12,GROSS_PROFIT,RF2,RF3,550333013.91,542318455.45,-3205823.38,-2003639.61,-1202183.77,-961747.02,-400727.92,-240436.75,-8014558.46,0,SIMULATED_DERIVED
2025-12,GROSS_PROFIT,RF3,LATEST_ESTIMATE,542318455.45,539646935.97,-1068607.79,-667879.87,-400727.92,-320582.34,-133575.97,-80145.58,-2671519.48,0,SIMULATED_DERIVED
2025-12,EBITDA_PROXY,BUDGET,RF1,-1191726195.48,-1158622690.05,13241402.17,8275876.36,4965525.81,3972420.65,1655175.27,993105.16,33103505.43,0,SIMULATED_DERIVED
2025-12,EBITDA_PROXY,RF1,RF2,-1158622690.05,-1136553686.43,8827601.45,5517250.9,3310350.54,2648280.43,1103450.18,662070.11,22069003.62,0,SIMULATED_DERIVED
2025-12,EBITDA_PROXY,RF2,RF3,-1136553686.43,-1120001933.71,6620701.09,4137938.18,2482762.91,1986210.33,827587.64,496552.58,16551752.72,0,SIMULATED_DERIVED
2025-12,EBITDA_PROXY,RF3,LATEST_ESTIMATE,-1120001933.71,-1114484682.81,2206900.36,1379312.73,827587.64,662070.11,275862.55,165517.53,5517250.9,0,SIMULATED_DERIVED
2025-12,CFO,BUDGET,RF1,-1692050296.6,-1747225849.75,-22070221.26,-13793888.29,-8276332.97,-6621066.38,-2758777.66,-1655266.59,-55175553.15,0,SIMULATED_DERIVED
2025-12,CFO,RF1,RF2,-1747225849.75,-1784009551.85,-14713480.84,-9195925.52,-5517555.31,-4414044.25,-1839185.1,-1103511.06,-36783702.1,0,SIMULATED_DERIVED
2025-12,CFO,RF2,RF3,-1784009551.85,-1811597328.42,-11035110.63,-6896944.14,-4138166.49,-3310533.19,-1379388.83,-827633.3,-27587776.57,0,SIMULATED_DERIVED
2025-12,CFO,RF3,LATEST_ESTIMATE,-1811597328.42,-1820793253.95,-3678370.21,-2298981.38,-1379388.83,-1103511.06,-459796.28,-275877.77,-9195925.53,0,SIMULATED_DERIVED
2025-12,WORKING_CAPITAL,BUDGET,RF1,5277305111.36,5449391147.6,68834414.5,43021509.06,25812905.44,20650324.35,8604301.81,5162581.09,172086036.24,0,SIMULATED_DERIVED
2025-12,WORKING_CAPITAL,RF1,RF2,5449391147.6,5564115171.76,45889609.66,28681006.04,17208603.62,13766882.9,5736201.21,3441720.72,114724024.16,0,SIMULATED_DERIVED
2025-12,WORKING_CAPITAL,RF2,RF3,5564115171.76,5650158189.88,34417207.25,21510754.53,12906452.72,10325162.17,4302150.91,2581290.54,86043018.12,0,SIMULATED_DERIVED
2025-12,WORKING_CAPITAL,RF3,LATEST_ESTIMATE,5650158189.88,5678839195.92,11472402.42,7170251.51,4302150.91,3441720.72,1434050.3,860430.18,28681006.04,0,SIMULATED_DERIVED
